id,type,text1,text2,text3,text4,text5,notes
#ships,,,,,,,
,,,,,,,
ork_dreadnotv2,SHIP,"One of the largest ship designs produced by the Bultach Coalition, the Fregairt-class is a heavy anchor found in larger fleets, bolstering a massive array of weapons. One of the Coalition's stakes in their struggle to oppose the Tri-Tachyon Megacorporation, this capital ship is primarily used to hold the line, unwavering, even against the most powerful foes such as the Astral or Paragon designs of Corporate fame. 

Carrying a massive amount of armaments, any fleet spotted with this vessel is rarely trifled with. ",,,,,
ork_vencha,SHIP,"Inspired by an earlier, modified version of a Venture cruiser, the Ramala-class serves as a battlecarrier for the Coalition Navy, bringing fighters to the front line while keeping a heavy set of armor and weapons on hand in most engagements.",,,,,
ork_faster,SHIP,"Trading armor for unmatched speed for its class and armaments, the Striopach-class is excellent at running down weaker ships and giving chase to damaged foes, often able to avoid any ships it cannot take in a direct fight. Capable of slipping through incoming munitions with quick bursts of speed, it has proven quite popular with the more aggressive captains in the Coalition navy, who prefer a speedier alternative to the more common, heavily armored cruisers.",,,,,
ork_smasha,SHIP,"A heavily armored, heavily armed destroyer, the Smàladair-class is capable of harassing a wide array of ships, or even forcefully repositioning them. Notorious for it's ability to use it's heavily armored front as a battering ram to disable shields, or to finish off weak ships.",,,,,
ork_hammah,SHIP,"An older but time-proven dependable design, the Cruinn-class is often used as an anchor for smaller fleets due to the amount of ordnance it can absorb with its exceptionally thick armor. It can just as easily rain down a respectable amount of ordnance upon enemy vessels - but suffers from its aged, and quite easily strained flux grid. Regardless of flaws, it is still a common sight in Coalition fleets.",,,,,
ork_grot,SHIP,"Heavily armed and armored for it's class, the Dreach-class is a common frigate design used by Bultach for harrasser roles. Uniquely, the Dreach excels at soaking up damage for vulnerable ships of higher importance.",,,,,
ork_bigscrap,SHIP,"The first capital design made by the Bultach Coaltion, the tried and true Daiche-class battlecarrier has seen several iterative upgrade packages over it's lifetime. While somewhat outdated compared to more modern designs fielded by the Persean Sector, the Daiche battlecarrier is a reliable anchor for smaller fleets and has survived over a century of continual combat against vastly superior oppoents in some cases. 

Heavily armored and slow, this Daiche has cemented itself as part of the Bultach Navy's fleet doctrine. Typically the flagship for smaller patrols, it is meant as the anvil to the hammer of it's escorts and packs enough firepower to consistently survive multiple engagements.",,,,,
ork_spacehulk,SHIP,"Made of countless discarded hulls, chunks of stations, and often from cannibalized small pirate vessels, but just as often made from the various scrapyards left drifting in the void of space, no two Space Hulk-class vessels are the same. Regardless, each one is fitted with enough weapons to wrestle with stations, fleets and carries a terrifying amount of hangar bays to allow force projection over a large area. Worse still, even destroying it often leaves the carcass for pirates to reclaim, brought back with a vengeance each time. Thankfully, the vessel is extremely rare at best. Only aquired by the best and most ambitious pirate lords.

The ""zombie"" ship nature of a Space Hulk gives it something of a sinister reputation with captains and spaceport bars. Rumors spoken of seeing these crumbling hulks leading massive raiding fleets. Additionally, these vessels are a logistical nightmare with most repair crews as there is no proper standard when one arrives in a port of call for said repairs, often having additional plating simply hacked on wherever damage is done.",,,,,
ork_interdictor,SHIP,"Made for hunting down phase ships - or defending important assets from them, the Plàigh-class excels at just that role. Plàigh-class ships are equipped with specialized systems that allow the capability of ""striking"" a small area of P-space with a lash of energy, temporarily rending phase vessels back into realspace. Even in situations with no phase ships to target, its system allows a respectable discharge of EMP upon enemy hulls.",,,,,
ork_prong,SHIP,"Fast, tough and carrying a heavy amount of armaments for its size, the Fithea-class is a simple ship in construction for its size. A fairly common destroyer in Bultach Navy service, Fitheas are used as an escort for trade fleets, or to pad out gaps in combat fleets which normally don't carry as much firepower, such as pickets or light patrols.",,,,,
ork_bees,SHIP,"A small carrier often seen in minor Bultach patrols, the Snàthad-class brings much needed fighter support to their fleets at a respectable price. While not able to engage in close combat itself all too reliably, it's still a common sight due to the support value it provides.",,,,,
ork_mining,SHIP,"Originally made in the early years of the Company War, back when the Bultach Coalition was a rather more desperate polity, the Mèinneadh-class is a mining vessel militarized for war. Most Mèinneadhs feature hastily welded armor, which is then put together en-masse to quickly gather much needed resources without the threat of loss to hostiles. Despite this, Mèinneadhs are still seen often enough due to their cheap design.",,,,,
ork_old,SHIP,"One of the first ships ever produced natively by the Bultach Coalition, the Roimhe-class is a cheap overhaul of the Mule-class combat freighter, resulting in a surpisingly powerful destroyer, albeit not quite as useful as more expensive ships of it's class. Roimhe-class vessels have gained recent popularity even among Independants, due to their cheap conversion costs and the common nature of the Mule-class to begin with. Thanks to this, they are widely exported, constructed, and often serve many budding mercenary commanders.",,,,,
ork_scrimb,SHIP,"A small, exceptionally nimble frigate, the Sgoinneil-class is seen in nearly all Bultach fleet compositions. Capable of harrassing larger ships and dueling with other frigates of similar size and roles.",,,,,
ork_bastard,SHIP,"A frigate entirely dedicated to bringing along fighter, and minor missile support, the Madach is found in nearly every Bultach Coalition fleet, hidden behind more heavily armored allies to provide valuable support to any engagement.",,,,,
ork_mech,SHIP,"A curious design, the Buail-class is a hard-hitting, well armored ship sporting two, built-in and downsized weapons; the Hellbore, and the Mark IX autocannon. It is an exceptionally rare sight, due to just how old it is.

Unfortunately, due to the logistics needed to support the integrated weapons, the Buail lacks a shield generator, making it exceptionally weaker over prolonged battles, or against heavier hitting armaments.",,,,,
ork_battlecruiser,SHIP,"In order to avoid being outmaneuvered by the high-tech ship designs used by their Tri Tachyon opponents, the Bultach Coalition has taken to designing, and fielding the Nadhmòr-class Battle Cruiser, usually found in larger war fleets. Poorly armored compared to most capital ships, the Nadhmòr has incredible maneuverability to compensate for it's more fragile nature.

On top of this maneuverability, the Nadmòr-class packs heavy strike potential-- able to mount a large array of missiles to make decisive attacks against key targets. Following it's success, it has only seen more and more common use, a mainstay in Bultach fleets.",,,,,
ork_tail,SHIP,"One of the newest ships developed by the Bultach Coalition, the Daignich-class carries an impressive flux core which mainly powers its unique ship system. Though it sacrifices the armored nature of most Bultach vessels in order to be utterly focused on support, it would be foolish to ignore it for long - especially in drawn out battles, as it's presence on the battlefield proves more and more valuable as time goes on with its ability to supply minor repairs to allies.",,,,,
ork_murtach,SHIP,"A singular prototype with no known production lineage, the Murtach exists in quiet defiance of conventional ship design. Built for - and only capable of sustaining - a single pilot, and sealed entirely from within, the vessel houses a sprawling, disturbingly organic bio-synthetic core that blurs the boundary between ship and sentience. Boarding requires, ideally, oversight from an external crew. There are no manual controls.

The internal chamber is seemingly organic, reactive, and partially alive. Specialized suiting - or outright disrobing - is required. The selected pilot is guided into a vertical recess that, once sealed, slowly draws them inward by a facsimile of myenteric reflex. Once within the core of the vessel, the pilot is enveloped and secured by a tight matrix of wet, flexible pads, neural interfaces, and fluidic membranes. The ship’s onboard bio-synthetic intelligence assures the indefinite health and sustainment of the pilot, gradually extending its reach into the pilot’s emotional and cognitive states.

The process is permanent for the duration of deployment. Some pilots pair more naturally with the vessel, but even the less enthusiastic are eventually ""accommodated."" Over time, the vessel appears to adjust the pilot's mental and emotional state. Some report a slow erosion of resistance or discomfort - disturbingly replaced by compliance and, in extreme cases, a form of dependence. Pilots often speak of still feeling “bound” or sensing a lingering “presence” long after departure. Disembarkation is impossible without an external crew to reverse the entombment procedure. Even then, the separation is often difficult. Pilots removed from the vessel, especially after prolonged exposure, frequently exhibit signs of psychological withdrawal, dissociation, or distress.

The vessel’s phase capability is extraordinary in strength, but unnatural in execution. It does not glide into p-space - it tears itself in, violently displacing space-time and leaving behind bursts of gravimetric and electromagnetic turbulence. Emergence is more violent still: a sharp, crackling surge accompanied by a violent discharge of energy. The unique makeup of the hull allows both it and its pilot to survive such a maneuver.
",,,,,
ork_racer,SHIP,"The newest frigate found in Bultach fleets, the Ghean-class is a nimble, albeit somewhat fragile ship with a respectable weapons package. It's most powerful feature is the newly made ""Offensive Overdrive"", which allows it to further push it's speed and fighting power. It often receives criticism for how it gives up staying power in order to push aggression to the fullest, but is regardless a common sight.",,,,,
ork_bigracer,SHIP,"Essentially the big brother to the Ghean frigate, and the largest vessel capable of safely handling the ""Offensive Overdrive"" style of Bultach reactor's, the Dhaich-class cruiser is an entirely aggression focused vessel. Giving up it's ability to keep vessels and range and soak up damage with armor, these cruisers can instead be seen bleeding flux from their extended vents on the front line, and dishing out as much firepower as possible before their strained reactor demands relief. A favorite of the brave or reckless, it has grown to be quite popular in Bultach fleets.",,,,,
ork_crusher,SHIP,"Covered in hulking, overlapping armor plates and bristling with forward facing armaments, the Aghaidh-class is capable of truly awesome firepower for its class, as well as being able to withstand withering punishment itself. While slow and lumbering, the Aghaidh can still be found on the frontlines, soaking up damage for it's more fragile allies.",,,,,
ork_skrunkly,SHIP,"A hardy, common frigate found in many Bultach fleets, the Gath-class frigate is simple, tried and true. Though underwhelming in it's PD capabilities, it brings enough strike potential to see much use in just about any fleet found in the Coalition, able to take quite a bit of punishment, for a frigate.",,,,,
ork_speeder,SHIP,"A destroyer focused on strike capability and speed above all other, the Luath is capable of accompanying even frigates on the frontlines, bullying less armed vessels away to allow a strategic advantage in the first moments of battle. Though it quickly strains it's reactor, the vessel can still fight for a respectable amount of time; pestering more cumbersome foes and continuing to press the offensive.",,,,,
ork_thrasher,SHIP,"Deceptively well-armed and armored for it's size, as a smaller cruiser, the Mòran-class is designed as a relatively cheap way of punching through enemy lines, or using brute force to reposition a ship. Straining even the toughest of shield generators with it's sheer speed, and enhanced mass upon impact-- smaller vessels often being outright destroyed by the wild charge. The Mòran is particularly favored by the aggressive and reckless Captains, due to it's tendency to get in knife-fighting range.",,,,,
ork_tiny_freighter,SHIP,"A common freighter seen in many Bultach fleets, the Asal-class is a dependable-- if under-armed cargo vessel. Gaining a bit more capacity over the Mule-class in exchange for not quite being able to defend itself, but seeing one without a proper escort isn't exactly a common occurance to begin with.",,,,,
,,,,,,,
,,,,,,,
#fighters,,,,,,,
,,,,,,,
ork_light_fighter,SHIP,"A simple, useful design found in nearly all Bultach fleets sporting a carrier, the Brònach-class fighter is decently reliable in it's ability to overwhelm smaller wings, as well as lone ships-- though this can often lead to high casualties if a encountering a competent PD grid.",,,,,
ork_heavy_fighter,SHIP,"A slower, more expensive fighter, the Seillean-class is less often used due to lengthy replacement times. It makes up for this with a respectable armament, including a downscaled Teth plasma cannon, which it can fire in small bursts to devestate other wings head on, or chew into larger ship's armor.",,,,,
ork_bomber,SHIP,"The only bomber fielded by carriers in the Coalition, the Chaneil-class bomber is fairly slow, but carries a heavy payload of two downsized Caillean torpedoes. It is capable of both pressuring shields with each pass, or devestating armor and hull.",,,,,
ork_defense_drone,SHIP,"Custom made for the Sally-class, these refitted, small mining drones can provide a much needed PD boost for their host hull, as well as a way to get a bit of extra damage in on the enemy in a pinch.",,,,,
,,,,,,,
,,,,,,,
#supers,,,,,,,
,,,,,,,
ork_superdread_main,SHIP,"The pearl of the Bultach navy, both a powerful morale and propaganda piece often used to strike both fear and awe into those who view it, housing thousands upon thousands of crew, and easily outsizing-- as well as outgunning entire stations. The DòrnDhè is often credited as the will of the Bultach Coalition's citizens, their rage made manifest.

It is to spearhead their assault against Tritachyon's planets, with the capability to reduce the surface of any colony to a sheet of glass solely on it's own. The vengeful spirit of a spiteful populace.

Doubling as a last resort, it presents the option to embark upon it as an ark ship, to carry a large chunk of the population to safe haven, should the Bultach Coalition's war come to that.

",,,,,
,,,,,,,
ork_redemption_main,SHIP,"One of the legendary sporeships; that which first seeded planets for life in the sector, changed into a grotesque amalgam of Luddic wrath. Able to serve both as a base of operations in and of itself, as well as rain holy justice upon any servants of Moloch in it's path. Where it goes, destruction follows in it's wake. Almost regarded as a myth, with how rare this class of vessel is, but tales of horror are still told in hushed tones by spacers who have supposedly caught sight of these monstrosities. Tales of holy horns blaring, and massive pather fleets following along it's radioactive plume.

Heavily armored from it's sheer size alone, the Redemption can brush off strikes that would prove destructive to many other ships. Using it's sheer weight as a battering ram against any foe unfortunate enough to have drawn it's ire. Capable of going toe to toe with entire battlestations, and reducing them to molten, radioactive slag. The Stars held no anger, only disappointment. Man found themselves lacking in the face of damnation. No heresy could protect them from their punishment. May the holy void have mercy on them.

""Upon this rock, I will build my church.""
""To which even the most depraved servants of moloch may be redeemed.""
""Blessed by his holy void in final absolution.""

",,,,,
,,,,,,,
ork_sgr_main,SHIP,"The Sathar-class Heavy Dreadnought, the pinnacle of Coalition ship production, stands as a towering behemoth that eclipses not only its peers within the Coalition but potentially the entire sector. This awe-inspiring vessel boasts an armament of unparalleled magnitude, engineered to endure protracted engagements and effectively lay siege upon the mightiest of stations. While its power is undeniable, the Sathar-class carries a substantial logistical burden, a trade-off deemed acceptable by the Bultach Coalition in light of its remarkable combat performance.

Originally conceived as a bulwark against any incursion into the cherished home system of the Coalition, the Sathar-class Heavy Dreadnought quickly proved its worth. As time progressed, it underwent meticulous refinement and fine-tuning, solidifying its reputation as the epitome of concentrated firepower. These imposing dreadnoughts now serve as the definitive symbol of strength during diplomatic engagements, providing an unmistakable show of force that compels factions with overly warm relations towards Tritach to reconsider their allegiances.",,,,,
,,,,,,,
ork_judgement,SHIP,"Originally conceived as a mundane mining station, the Judgement-class vessel underwent a radical transformation at the hands of religious zealots who saw its potential for a higher purpose. What was once a pragmatic hub for resource extraction has been reborn as a space-borne arbiter, a vessel imbued with sacred purpose and an unyielding commitment to the extremist ideologies of its creators.

The Judgement-class vessel boasts an arsenal that reflects its newfound religious identity. Its hull carved into to fit as many weapons as its frame can handle, its main mining beam jury-rigged and overcharged to incredibly dangerous levels. This vessel, once a mere workhorse of industry, now wields the power to dish out divine judgement upon any deemed servants of moloch by the Luddic Path.",,,,,
,,,,,,,
,,,,,,,
#stations,,,,,,,
,,,,,,,
ork_bulwark_station,SHIP,"The Bulwark stands as a testament to the ingenuity and collective strength of the Bultach Coalition, a union of those who would seek refuge from Tri-Tachyon, and a fortress from which to strike back against their oppression. This colossal defensive space station, hovering ominously at the outer edges of its host planet, is a marvel of engineering and a symbol of unyielding defense.

The Bulwark is a bastion of impenetrable defenses, designed to withstand the most formidable tides the sector can muster. Carrying a truly terrifying amount of guns, as well as a massive railgun mounted atop its main body. Bultach propaganda often tout that it would take a battlegroup regiment and then some to begin chipping away at the Bulwark.

The Bulwark stands as a shining sentinel in the vastness of space, a beacon of security and cooperation among the stars. It exemplifies the commitment of the Bultach Coalition to preserving peace and prosperity throughout their system, and hopefully beyond.",,,,,
,,,,,,,
,,,,,,,
#pirate/pather,,,,,,,
,,,,,,,
ork_bigscrap_path,SHIP,"The Tribulation is a capital ship that, as far as the Sector knows, has only ever been produced by the Luddic Path. No schematics or examples of a pre-Pather, secular version have ever been discovered, leading many to believe that this is its one and only state: a sanctified and terrifying weapon of war.

Outwardly, the ship is a testament to the Path's fervent devotion to their cause, often adorned with scriptures and housing shrines within its steel corridors. In battle, it is a formidable anchor for their fleets - and a horrifying sight for any of those deemed ""sinners"" by the Luddic Path. Possessing the raw durability and heavy firepower to stand against dedicated military vessels, it is a troublesome development indeed. The sheer resources and means of production required to create such a ship means it remains a thankfully rare sight in the Persean Sector.",,,,,
ork_mule_mk3,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary furnishing and transforming it into a haphazard vehicle of holy war.

This simple combat freighter has been overhauled by the Luddic Path. Strapped with as many mounts as it can hold, and fitted with a dangerous amount of engines, it makes a surprisingly formidable, albeit fragile destroyer.",,,,,
ork_ramshackle,SHIP,"A twisted amalgam of hullfoam and shoddily welded armor plates, no two Ramschackle-class cruisers are quite the same, coming from different base ships. Nevertheless, they pack a respectable amount of armament, and can take a heavy beating before being ripped apart.",,,,,
ork_vencha_pather,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary furnishing and transforming it into a haphazard vehicle of holy war. But it's slightly amiss. The more hazardous modifications seem to have been done by more professional hands.

This Luddic conversion of the Ramala sees it made much faster, it's hangar bay collapsed and welded into additional armor plates, as well as a more weapons haphazardly added to it's frame. Albeit more rare, this Path cruiser is a extremely potent threat.",,,,,
ork_hammah_pather,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary furnishing and transforming it into a haphazard vehicle of holy war. But it's slightly amiss. The more hazardous modifications seem to have been done by more professional hands.

With massive, dangerous modifications throughout the entire hull, this Cruinn-class conversion by the Luddic Path has been pushed to straining speeds, its large ballistic mount converted to fit missiles instead, giving it terrifying strike potential. Thankfully for those it finds in battle, the additional weaponry, orion device, and engines welded where armor plates should be has significantly weakened how much damage it can absorb.",,,,,
ork_skrunkly_lp,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary furnishing and transforming it into a haphazard vehicle of holy war. But it's slightly amiss. The more hazardous modifications seem to have been done by more professional hands.

Already a somewhat nimble frigate, this conversion sees the Gath made insanely fast; fitted with an engine nearly too big for it's frame. Giving up one of it's hardpoints in exchange for two composites.",,,,,
ork_dangerous,SHIP,"A horrifying display of Luddic Path engineering, the Goblin is little more than two Gremlin-class phase coils welded onto a larger frame, and then subsequently loaded with as many guns as the already stressed vessel can carry. Fast, but fragile, this ship often supports bigger Luddic vessels.",,,,,
,,,,,,,
,,,,,,,
ork_mining_p,SHIP,"A pirate converted variant of the Mèinneadh, this cruiser sports a large ballistic instead of the hangars that normally house mining drones. Additional armor has been crudely welded on and it is a viable threat in battle - but still quite fragile due to it's base internal structure.

Originally made in the early years of the Company War, back when the Bultach Coalition was a rather more desperate polity, the Mèinneadh-class is a mining vessel militarized for war. Most Mèinneadhs feature hastily welded armor, which is then put together en-masse to quickly gather much needed resources without the threat of loss to hostiles. Despite this, Mèinneadhs are still seen often enough due to their cheap design.",,,,,
ork_loota_p,SHIP,"Already a tough, well-armed ship before it's capture and subsequent pirate ""upgrades,"" this Bruth-class cruiser has had it's cargo holds collapsed and welded into crude fighter bays instead, additional armor forced onto the frame, larger weapon mounts hacked on, and the ship system dangerously overriden to allow higher mobility. A formidable cruiser by any right, but rarer than those easier to procure.",,,,,
ork_logistics_p,SHIP,"A pirate conversion of the Giùlain; a tough, well armed logistics vessel before any modifications, it does not fall prey to capture-- and subsequent modification by pirates quite nearly as often as it's less defended cousins, but in the instances it does, it becomes a potent threat. 

Bristling with guns and missiles alike, as well as a salvaged ""Jet Burst"" ship system from another unfortunate Bultach vessel, this ship is certainly not to be underestimated. Though often outclassed in one on one fights with a proper capital class ship.",,,,,
ork_bees_p,SHIP,"A rather extreme conversion of the Snàthad, it went from a dependable carrier to an incredibly fast destroyer-- albeit fragile, due to the modifications stripping armor plates from the hull. Regardless, it is a ship favored by reckless and other captains who crave a ludicrous amount of speed.",,,,,
ork_prong_p,SHIP,"Following the typical Pirate mindset of bigger being better, much of the Fithea's internal framework was gutted and replaced - or redirected in order to sustain the newly hack-forged large mount present on the ship. Abandoning the nimble, previous system for a more straight forward Burn Drive, it now serves as a ""fine"" addition to the pirate fleets managing to procure them.",,,,,
ork_scrapheap,SHIP,"More a twisted wreck that flies than a ship, the Scrap Heap class carries a blistering amount of guns onto the battlefield-- more guns than its limited flux grid can much handle. Regardless, pirates arn't picky on how to deliver as much lead as possible down range, and will happily construct these odd cruisers if the right junk is available.",,,,,
ork_drednot,SHIP,"Thankfully a rarity, the Mastodon, a self proclaimed ""DrEdNOt"" in badly chipping paint on its side is one of the most sophisticated designs procured by the pirates. Not found in any domain historical records or even hinted at in the salvage procured from ruins, the Mastodon is a unique post-collapse triumph of tyranny. It carries a massive amount of guns, fields fighters, and invokes terror in fleet patrols, the pride of any successful pirate lord.",,,,,
,,,,,,,
,,,,,,,
#logistics,,,,,,,
,,,,,,,
ork_loota,SHIP,"Finding themselves with dangerous trade routes hounded by pirates, Tri Tachyon and other threats alike, the Bultach Coalition uses the Brùth-class freighter as a means to mitigate losses through heavy arms and armament, albeit losing cargo space to add these defensive features. 

Nonetheless, the Brùth remains a proven, hardy and rugged vessel that makes most pirate ambushers think twice before engaging one.",,,,,
ork_tanka,SHIP,"A standard tanker for Bultach fleets, the Mèinlùtha-class was created with the same philosophy as the Brùth-class freighter, trading overall capacity for a much better combat capability to fend off Tri-Tach and pirate fleets alike.",,,,,
ork_logistics,SHIP,"A combination of both cargo and fuel capacity, the Giùlain-class is seen quite often in heavier trade and exploration fleets, capable of supplying and fueling for extended periods of time, as well as putting up a decent fight itself.",,,,,
,,,,,,,
,,,,,,,
#bounties,,,,,,,
,,,,,,,
ork_alysse_lp,SHIP,"A treasured battleship-- stripped down and haphazardly modified to be a holy war machine of Ludd. It's armor modules have been all but torn off, or integrated into the main hull, leaving room to pack the vessel with an obscene amount of extra firepower. It's unique, defensive orion drive reverted to the base design of the ship system to allow as much speed as possible, to usher along salvation to the servants of moloch. It's clear with the amount of modifications it has been on it's holy crusade for quite some time; the scars of battle showing upon it's hull as anything from stripped paint to plasma burns.

It is not often a Knight of Ludd strays from their path, but this once sanctified vessel is proof enough of what they're capable of in desperation; desperation to wipe the sector clean of it's many sins, to sentence the hordes of moloch to the holy void.",,,,,
,,,,,,,
,,,,,,,
#random ships,,,,,,,
,,,,,,,
ork_apsis,SHIP,"The Apsis-class, the formidable elder sibling of the Apogee-class vessel, designed for those who seek the pinnacle of exploration and defensive prowess in the vast reaches of space.

The Apsis boasts a commanding presence, meticulously equipped with cutting-edge scientific instruments. Tailored for long-range exploration of hostile territories, Apsis captains are known for their independence and self-reliance, navigating the cosmos alone with unwavering confidence.

Much like the Apogee, the Apsis leverages a potent shield emitter and powerful engines to challenge would-be attackers. While its armor rating may still suggest vulnerability on paper, it can nonetheless absorb a fair bit of damage.

Reserved for the elite echelons, the Apsis-class demands a substantial investment. Only those with the resources to seize one of these hulls for themselves can enjoy this rare combined epitome of advanced scientific and military technologies.",,,,,
ork_sisyphus,SHIP,"A thorough and total refit of the Atlas Superfreighter, the Sisyphus-class is quite nimble for its size, and can put up a surprising fight. Often seen leading scavenger expeditions into the unknown, or among the fleet of a rag-tag independant planetary defense. With a respectable armament and fighter support, it has solidified itself as a dependable post-collapse design. ",,,,,
ork_veneer,SHIP,"A total overhaul of a Starliner hull, the Veneer-class has it donned in armor plating, reforged entire sections of the hull, and heavily upgraded its flux grid. Though somewhat vulnerable to flanking due to its forward-facing armament, it is nonetheless a useful vessel for those unable to afford more ""official"" and expensive hulls.",,,,,
ork_sally,SHIP,"An original design, the Sally-class is quite nimble, fairly cheap, and capable of punching up to a limited degree. Fielding two small, custom-made Defense Pods, the Sally is capable of holding its own against most other frigates, as well as effectively harassing anything above its weight class.",,,,,
ork_concoct,SHIP,"The common Nebula-class sees many refits, a more lawful one of those being the Concoct-class. Used to fill up gaps in many independant force fleets and beginner mercenary groups. With its newly installed damper field, it can soak up a surprising amount of damage, while dishing out a fair amount itself.",,,,,
ork_arke,SHIP,"The Mudskipper, overhauled into a vessel that can somewhat fight-- albeit often in a more supportive role. This ship is cheap, common, and decent for its asking price. Those picking up these vessels to help fill out their fleet arn't typically in a place to complain.  ",,,,,
